Location,Region,Date,Age,Portion_3
Canada,British Columbia,2021-11-17,12-17,0
Canada,British Columbia,2021-11-17,18-29,0.01
Canada,British Columbia,2021-11-17,30-39,0.02
Canada,British Columbia,2021-11-17,40-49,0.02
Canada,British Columbia,2021-11-17,50-59,0.03
Canada,British Columbia,2021-11-17,60-69,0.05
Canada,British Columbia,2021-11-17,NA,0.05
Canada,British Columbia,2021-11-20,12-17,0
Canada,British Columbia,2021-11-20,18-29,0.01
Canada,British Columbia,2021-11-20,30-39,0.02
Canada,British Columbia,2021-11-20,40-49,0.03
Canada,British Columbia,2021-11-20,50-59,0.04
Canada,British Columbia,2021-11-20,60-69,0.05
Canada,British Columbia,2021-11-20,NA,0.06
Canada,British Columbia,2021-11-24,12-17,0
Canada,British Columbia,2021-11-24,18-29,0.01
Canada,British Columbia,2021-11-24,30-39,0.02
Canada,British Columbia,2021-11-24,40-49,0.03
Canada,British Columbia,2021-11-24,50-59,0.04
Canada,British Columbia,2021-11-24,60-69,0.05
Canada,British Columbia,2021-11-24,NA,0.06
Canada,British Columbia,2021-11-27,12-17,0
Canada,British Columbia,2021-11-27,18-29,0.01
Canada,British Columbia,2021-11-27,30-39,0.02
Canada,British Columbia,2021-11-27,40-49,0.03
Canada,British Columbia,2021-11-27,50-59,0.04
Canada,British Columbia,2021-11-27,60-69,0.06
Canada,British Columbia,2021-11-27,NA,0.07
Canada,British Columbia,2021-12-01,12-17,0
Canada,British Columbia,2021-12-01,18-29,0.02
Canada,British Columbia,2021-12-01,30-39,0.02
Canada,British Columbia,2021-12-01,40-49,0.03
Canada,British Columbia,2021-12-01,5-11,0
Canada,British Columbia,2021-12-01,50-59,0.04
Canada,British Columbia,2021-12-01,60-69,0.06
Canada,British Columbia,2021-12-01,70+,0.4
Canada,British Columbia,2021-12-01,NA,0.08
Canada,British Columbia,2021-12-04,12-17,0
Canada,British Columbia,2021-12-04,18-29,0.02
Canada,British Columbia,2021-12-04,30-39,0.02
Canada,British Columbia,2021-12-04,40-49,0.04
Canada,British Columbia,2021-12-04,5-11,0
Canada,British Columbia,2021-12-04,50-59,0.05
Canada,British Columbia,2021-12-04,60-69,0.06
Canada,British Columbia,2021-12-04,70+,0.46
Canada,British Columbia,2021-12-04,NA,0.09
Canada,British Columbia,2021-12-08,12-17,0
Canada,British Columbia,2021-12-08,18-29,0.02
Canada,British Columbia,2021-12-08,30-39,0.03
Canada,British Columbia,2021-12-08,40-49,0.04
Canada,British Columbia,2021-12-08,5-11,0
Canada,British Columbia,2021-12-08,50-59,0.05
Canada,British Columbia,2021-12-08,60-69,0.07
Canada,British Columbia,2021-12-08,70+,0.49
Canada,British Columbia,2021-12-08,NA,0.1
Canada,British Columbia,2021-12-11,12-17,0
Canada,British Columbia,2021-12-11,18-29,0.02
Canada,British Columbia,2021-12-11,30-39,0.03
Canada,British Columbia,2021-12-11,40-49,0.04
Canada,British Columbia,2021-12-11,5-11,0
Canada,British Columbia,2021-12-11,50-59,0.06
Canada,British Columbia,2021-12-11,60-69,0.08
Canada,British Columbia,2021-12-11,70+,0.55
Canada,British Columbia,2021-12-11,NA,0.11
Canada,British Columbia,2021-12-15,12-17,0
Canada,British Columbia,2021-12-15,18-29,0.02
Canada,British Columbia,2021-12-15,30-39,0.03
Canada,British Columbia,2021-12-15,40-49,0.05
Canada,British Columbia,2021-12-15,5-11,0
Canada,British Columbia,2021-12-15,50-59,0.07
Canada,British Columbia,2021-12-15,60-69,0.09
Canada,British Columbia,2021-12-15,70+,0.58
Canada,British Columbia,2021-12-15,NA,0.12
Canada,British Columbia,2021-12-18,12-17,0
Canada,British Columbia,2021-12-18,18-29,0.03
Canada,British Columbia,2021-12-18,30-39,0.04
Canada,British Columbia,2021-12-18,40-49,0.05
Canada,British Columbia,2021-12-18,5-11,0
Canada,British Columbia,2021-12-18,50-59,0.08
Canada,British Columbia,2021-12-18,60-69,0.12
Canada,British Columbia,2021-12-18,70+,0.63
Canada,British Columbia,2021-12-18,NA,0.13
Canada,British Columbia,2021-12-21,12-17,0
Canada,British Columbia,2021-12-21,18-29,0.03
Canada,British Columbia,2021-12-21,30-39,0.04
Canada,British Columbia,2021-12-21,40-49,0.06
Canada,British Columbia,2021-12-21,5-11,0
Canada,British Columbia,2021-12-21,50-59,0.09
Canada,British Columbia,2021-12-21,60-69,0.14
Canada,British Columbia,2021-12-21,70+,0.64
Canada,British Columbia,2021-12-21,NA,0.14
Canada,British Columbia,2021-12-24,12-17,0
Canada,British Columbia,2021-12-24,18-29,0.03
Canada,British Columbia,2021-12-24,30-39,0.05
Canada,British Columbia,2021-12-24,40-49,0.07
Canada,British Columbia,2021-12-24,5-11,0
Canada,British Columbia,2021-12-24,50-59,0.1
Canada,British Columbia,2021-12-24,60-69,0.17
Canada,British Columbia,2021-12-24,70+,0.67
Canada,British Columbia,2021-12-24,NA,0.15
Canada,British Columbia,2022-01-04,12-17,0
Canada,British Columbia,2022-01-04,18-29,0.04
Canada,British Columbia,2022-01-04,30-39,0.06
Canada,British Columbia,2022-01-04,40-49,0.09
Canada,British Columbia,2022-01-04,5-11,0
Canada,British Columbia,2022-01-04,50-59,0.14
Canada,British Columbia,2022-01-04,60-69,0.29
Canada,British Columbia,2022-01-04,70+,0.7
Canada,British Columbia,2022-01-04,NA,0.19
